text,size
vote,62
barackobama,51
america,35
make,35
president,35
#obama,29
years,27
#election,19
mittromney,17
#romneyryan,15
#romney,15
polls,13
obama,12
line,11
#usa,11
con,11
ich,11
voted,10
record,10
friend,10
remind,10
retweet,10
decision,10
maker,10
americans,10
ass,10
results,10
torcendo,10
minute,10
love,8
ready,8
#,7
#forward,7
#civicduty,7
#stayinline,7
#uswahl,7
#wouterbos,7
#electionday,7
#voteobama,7
#sadtrombone,7
stay,6
romney,6
election,6
instagram,5
den,5
pelo,5
twitter,5
influi,5
baz,5
state,5
boin,5
give,5
remain,5
work,5
querendo,5
maglietta,5
remix,5
gicopelo,5
irony,5
matter,5
lot,5
rolling,5
barack,5
fall,5
reportern,5
cnn,5
abc,5
weary,5
happened,5
estados,5
speech,5
interview,5
seanparnellusa,5
sbaracca,5
nur,5
brasil,5
pic,5
tweets,5
slbyz,5
das,5
credit,5
uscire,5
sosa,5
vorbereitet,5
elei,5
ugly,5
domani,5
important,5
vorrei,5
sobre,5
dass,5
toughest,5
canada,5
virginia,5
huff,5
leaving,5
job,5
twitpic,5
unidos,5
pbs,5
rede,5
turnout,5
back,5
lmfaooooooooo,5
mess,5
gewinne,5
bruh,5
tune,5
disaster,5
head,5
nos,5
nigga,5
scritto,5
fxn,5
resting,5
una,5
solo,5
tweet,5
super,5
npr,5
hlt,5
cbs,5
huh,5
lmfaooo,5
xx,4
xz,4
bar,4
youuglyonskype,4
hey,4
gud,4
whoopin,4
anciosa,4
rsonumglkr,4
su,4
erz,4
people,4
eine,4
ebt,4
luck,4
lv,4
pro,4
vincesse,4
cards,4
habe,4
ws,4
live,4
chuckwill,4
coverage,4
niggas,4
resultado,4
